transcript_id	gene_length	exon_count	exon_span	intron_count	intron_span	transcript_id	gene_length	exon_count	exon_span	intron_count	intron_span
bHd04179.1	2414	3	855	2	1559	RVARI.g666.t1	1210	2	957	1	253
bHd07935.1	8970	18	5307	17	3663	RVARI.g6707.t1	6975	19	5247	18	1728
bHd03216.1	696	3	465	2	231	RVARI.g3449.t1	475	3	282	2	193
bHd03628.1	8285	14	4395	13	3890	RVARI.g5189.t1	5424	8	3747	7	1677
bHd01970.1	7258	15	3324	14	3934	RVARI.g13516.t1	5279	14	3051	13	2228
bHd01983.1	3514	7	1005	6	2509	RVARI.g10376.t1	1488	7	1002	6	486
bHd07333.1	3275	6	1662	5	1613	RVARI.g10214.t1	2184	5	1497	4	687
bHd15903.1	4174	8	2181	7	1993	RVARI.g12653.t1	3644	11	2757	10	887
bHd19478.1	2449	4	1632	3	817	RVARI.g6780.t1	1749	4	1512	3	237
bHd04133.1	5535	12	2028	11	3507	RVARI.g782.t1	3378	11	1956	10	1422
bHd15527.1	6798	13	2049	12	4749	RVARI.g1186.t1	4128	10	2091	9	2037
bHd04712.1	1179	3	459	2	720	RVARI.g7303.t1	666	2	486	1	180
bHd05519.1	10132	30	5097	29	5035	RVARI.g4923.t1	8815	29	5307	28	3508
bHd18590.1	6496	14	3714	13	2782	RVARI.g10611.t1	5668	11	3312	10	2356
bHd05521.1	3465	10	1317	9	2148	RVARI.g4925.t1	2267	9	1314	8	953
bHd07082.1	2274	4	1371	3	903	RVARI.g9529.t1	1990	3	1359	2	631
bHd06655.1	2664	4	1167	3	1497	RVARI.g712.t1	1259	3	1125	2	134
bHd00065.1	1879	14	855	13	1024	RVARI.g5860.t1	1974	10	843	9	1131
bHd02006.1	2098	7	1104	6	994	RVARI.g10405.t1	1684	7	1125	6	559
bHd15587.1	2821	11	1392	10	1429	RVARI.g1166.t1	2105	8	1341	7	764
bHd17035.1	815	2	573	1	242	RVARI.g3520.t1	646	2	570	1	76
bHd03881.1	2990	4	2379	3	611	RVARI.g482.t1	2867	3	2370	2	497
bHd01114.1	5565	13	2796	12	2769	RVARI.g2414.t1	6067	10	3810	9	2257
bHd17482.1	2403	6	1269	5	1134	RVARI.g653.t1	1527	7	1047	6	480
bHd10366.1	2640	4	1458	3	1182	RVARI.g4623.t1	4075	9	2532	8	1543
bHd03816.1	4555	14	2292	13	2263	RVARI.g924.t1	1680	7	1266	6	414
bHd05777.1	2986	6	696	5	2290	RVARI.g10142.t1	1380	5	651	4	729
bHd06432.1	2244	5	732	4	1512	RVARI.g9653.t1	1329	6	819	5	510
bHd09305.1	3881	8	1686	7	2195	RVARI.g13644.t1	1584	5	1113	4	471
bHd15354.1	3691	11	1461	10	2230	RVARI.g6891.t1	3295	10	1485	9	1810
bHd11257.1	768	1	768	0	0	RVARI.g556.t1	912	1	912	0	0
bHd17496.1	5610	12	3285	11	2325	RVARI.g659.t1	3804	10	2916	9	888
bHd06866.1	3749	12	1335	11	2414	RVARI.g8253.t1	2302	12	1329	11	973
bHd13666.1	2046	3	1080	2	966	RVARI.g9979.t1	1369	3	1089	2	280
bHd05678.1	1763	2	1533	1	230	RVARI.g11067.t2	1545	2	1326	1	219
bHd19711.1	3536	4	1638	3	1898	RVARI.g12640.t1	1919	4	1638	3	281
bHd00461.1	5306	10	2346	9	2960	RVARI.g2410.t1	3524	10	2415	9	1109
bHd14740.1	5337	21	2904	20	2433	RVARI.g7522.t1	4892	16	2895	15	1997
bHd15619.2	2276	7	801	6	1475	RVARI.g2228.t1	2441	7	861	6	1580
bHd08001.1	5137	12	2952	11	2185	RVARI.g475.t1	4310	11	2799	10	1511
bHd19663.1	2770	6	453	5	2317	RVARI.g10305.t1	1051	5	453	4	598
bHd19256.1	2922	4	1089	3	1833	RVARI.g4241.t1	1068	2	1005	1	63
bHd01055.1	3722	7	1551	6	2171	RVARI.g1129.t1	1894	7	1464	6	430
bHd05563.1	3657	3	2895	2	762	RVARI.g9378.t1	3527	4	2751	3	776
bHd04037.1	6213	17	3600	16	2613	RVARI.g12155.t1	6220	15	3576	14	2644
bHd15145.1	2944	5	1356	4	1588	RVARI.g2137.t1	1931	4	1344	3	587
bHd07419.1	1948	4	357	3	1591	RVARI.g5695.t1	841	4	387	3	454
bHd08950.1	729	1	729	0	0	RVARI.g5461.t1	816	1	816	0	0
bHd11598.1	4710	12	1548	11	3162	RVARI.g11363.t1	1647	8	1131	7	516
bHd00502.1	2983	10	1098	9	1885	RVARI.g5807.t1	2584	8	1074	7	1510
bHd18960.1	4142	10	2784	9	1358	RVARI.g10258.t1	2172	9	1488	8	684
bHd01562.1	2893	2	309	1	2584	RVARI.g9934.t1	1530	2	312	1	1218
bHd16920.1	504	1	504	0	0	RVARI.g3215.t1	759	2	645	1	114
bHd02611.1	2381	7	1047	6	1334	RVARI.g8655.t1	1899	8	978	7	921
bHd07834.1	393	1	393	0	0	RVARI.g13848.t1	1380	4	600	3	780
bHd06540.1	1130	2	1077	1	53	RVARI.g7.t1	1116	1	1116	0	0
bHd08535.1	362	2	258	1	104	RVARI.g4075.t1	430	2	324	1	106
bHd01846.1	1002	4	426	3	576	RVARI.g9967.t1	615	3	432	2	183
bHd07323.1	774	3	459	2	315	RVARI.g10223.t1	605	3	456	2	149
bHd07390.1	8999	9	2037	8	6962	RVARI.g8098.t1	6868	12	2766	11	4102
bHd05851.1	3123	4	1986	3	1137	RVARI.g7911.t1	2308	4	1857	3	451
bHd09289.1	2022	4	1077	3	945	RVARI.g8113.t1	1539	4	1059	3	480
bHd17671.1	1345	6	477	5	868	RVARI.g7554.t1	1065	6	480	5	585
bHd15305.1	2282	3	1578	2	704	RVARI.g6853.t1	1813	3	1530	2	283
bHd13047.1	1572	4	432	3	1140	RVARI.g3012.t1	647	4	429	3	218
bHd06192.1	1707	3	798	2	909	RVARI.g9368.t1	7888	12	5418	11	2470
bHd12762.1	2771	4	1926	3	845	RVARI.g9123.t1	2642	7	1977	6	665
bHd06276.1	2917	12	1104	11	1813	RVARI.g10629.t1	1992	11	1125	10	867
bHd01094.1	4458	11	2688	10	1770	RVARI.g11873.t1	5245	8	2724	7	2521
bHd03766.1	7224	9	4521	8	2703	RVARI.g4074.t1	7145	11	5037	10	2108
bHd00305.1	4856	11	2598	10	2258	RVARI.g6406.t1	3745	11	2484	10	1261
bHd04155.1	1870	5	699	4	1171	RVARI.g774.t1	1080	5	705	4	375
bHd03707.1	6790	14	2337	13	4453	RVARI.g7771.t1	7002	26	3882	25	3120
bHd09432.1	3931	12	2892	11	1039	RVARI.g10626.t1	3504	9	2814	8	690
bHd00101.2	3029	11	1305	10	1724	RVARI.g6227.t1	2754	11	1392	10	1362
bHd10779.1	2798	6	1470	5	1328	RVARI.g12838.t1	1916	6	1488	5	428
bHd03696.1	3024	6	978	5	2046	RVARI.g7775.t1	3431	9	2055	8	1376
bHd08970.1	1655	5	639	4	1016	RVARI.g7619.t1	1051	6	642	5	409
bHd00519.1	3905	9	1692	8	2213	RVARI.g6090.t1	3126	8	1695	7	1431
bHd19308.1	5316	6	2178	5	3138	RVARI.g8308.t1	489	1	489	0	0
bHd16736.1	2000	6	1047	5	953	RVARI.g10072.t1	1522	6	1044	5	478
bHd07656.1	1961	5	702	4	1259	RVARI.g2466.t1	850	3	444	2	406
bHd09887.1	1541	5	642	4	899	RVARI.g4414.t1	1189	5	675	4	514
bHd05479.1	3145	4	1140	3	2005	RVARI.g493.t1	1661	4	1167	3	494
bHd14969.1	2451	5	993	4	1458	RVARI.g7042.t1	933	2	867	1	66
bHd16795.1	4441	13	2268	12	2173	RVARI.g11555.t1	3690	13	2262	12	1428
bHd03863.1	735	3	381	2	354	RVARI.g13025.t1	384	1	384	0	0
bHd17028.1	1496	3	1095	2	401	RVARI.g8161.t1	1175	3	1044	2	131
bHd07582.1	3100	5	2283	4	817	RVARI.g2520.t1	2761	3	2340	2	421
bHd14634.1	5670	22	2685	21	2985	RVARI.g7372.t1	4697	17	2517	16	2180
bHd02143.1	570	2	492	1	78	RVARI.g7819.t2	814	2	480	1	334
bHd17784.1	1985	7	891	6	1094	RVARI.g280.t1	1541	6	864	5	677
bHd07909.1	2641	9	1368	8	1273	RVARI.g6684.t1	2602	11	1482	10	1120
bHd15853.1	5973	16	3111	15	2862	RVARI.g1657.t1	5433	12	3210	11	2223
bHd06541.1	5329	5	3219	4	2110	RVARI.g2596.t1	3319	3	3075	2	244
bHd00730.1	1944	3	1356	2	588	RVARI.g864.t1	1562	4	1194	3	368
bHd10703.1	2222	6	960	5	1262	RVARI.g2527.t1	1381	6	909	5	472
bHd01243.1	3299	4	1560	3	1739	RVARI.g10990.t1	1658	2	1512	1	146
bHd11165.1	12852	24	3648	23	9204	RVARI.g11304.t1	6594	22	3453	21	3141
bHd05256.1	3972	8	2202	7	1770	RVARI.g3569.t1	2708	7	2037	6	671
bHd10021.1	4509	6	1146	5	3363	RVARI.g5004.t1	1661	6	846	5	815
bHd03689.1	1975	2	837	1	1138	RVARI.g3344.t1	843	1	843	0	0
bHd05327.1	1264	6	456	5	808	RVARI.g9786.t1	1005	6	456	5	549
bHd13027.1	3395	3	1158	2	2237	RVARI.g5603.t1	1243	2	990	1	253
bHd02885.1	390	1	390	0	0	RVARI.g12871.t1	381	1	381	0	0
bHd17264.1	5065	6	1608	5	3457	RVARI.g1076.t1	2883	7	1704	6	1179
bHd02301.1	3475	12	1779	11	1696	RVARI.g2352.t1	2893	9	1740	8	1153
bHd17205.1	4413	12	2205	11	2208	RVARI.g1047.t1	3727	10	2277	9	1450
bHd03334.1	1433	5	600	4	833	RVARI.g11110.t1	1028	5	591	4	437
bHd09125.1	11255	16	6078	15	5177	RVARI.g13475.t1	1417	7	768	6	649
bHd02130.1	2376	2	1287	1	1089	RVARI.g7803.t1	1529	2	1308	1	221
bHd16018.1	3098	5	1767	4	1331	RVARI.g7121.t1	2274	3	1743	2	531
bHd06430.1	6106	12	3561	11	2545	RVARI.g10971.t1	4420	11	3255	10	1165
bHd03233.1	2426	7	1392	6	1034	RVARI.g3426.t1	1902	7	1395	6	507
bHd04456.1	11191	12	7260	11	3931	RVARI.g358.t1	6782	7	4032	6	2750
bHd10623.1	1415	7	759	6	656	RVARI.g12313.t1	1160	6	741	5	419
bHd16298.1	4244	7	1164	6	3080	RVARI.g5164.t1	1901	7	1212	6	689
bHd11886.1	1854	2	1608	1	246	RVARI.g10100.t1	1520	2	1449	1	71
bHd08370.1	2399	10	765	9	1634	RVARI.g9292.t1	1723	11	717	10	1006
bHd16906.1	2778	5	1530	4	1248	RVARI.g3228.t1	2233	6	1665	5	568
bHd08779.1	6167	9	1419	8	4748	RVARI.g12066.t1	3014	9	1377	8	1637
bHd08239.1	5374	9	2553	8	2821	RVARI.g10191.t1	3758	6	2358	5	1400
bHd07893.1	3983	9	1848	8	2135	RVARI.g6674.t1	2404	8	1806	7	598
bHd10673.1	10149	16	5730	15	4419	RVARI.g10362.t1	5631	14	4197	13	1434
bHd01798.1	2991	5	1383	4	1608	RVARI.g8008.t1	1751	5	1488	4	263
bHd07095.1	1255	3	1023	2	232	RVARI.g9506.t1	1253	3	879	2	374
bHd06592.1	11035	20	2838	19	8197	RVARI.g5077.t1	7745	19	2838	18	4907
bHd09326.1	2323	7	1374	6	949	RVARI.g1998.t1	2874	8	1377	7	1497
bHd18231.1	2121	4	1002	3	1119	RVARI.g12368.t1	3106	4	1044	3	2062
bHd15585.1	661	4	369	3	292	RVARI.g186.t1	787	5	456	4	331
bHd07918.1	3463	7	1761	6	1702	RVARI.g6694.t1	3810	8	2376	7	1434
bHd00864.1	3738	5	2340	4	1398	RVARI.g13369.t1	2843	3	2295	2	548
bHd14981.1	3226	10	2403	9	823	RVARI.g7059.t1	3060	10	2334	9	726
bHd06614.1	7054	10	4803	9	2251	RVARI.g10806.t1	6681	11	4950	10	1731
bHd18854.1	781	2	399	1	382	RVARI.g13015.t1	1184	5	516	4	668
bHd08718.1	425	2	339	1	86	RVARI.g1833.t1	870	2	615	1	255
bHd18155.1	1273	5	861	4	412	RVARI.g5746.t1	1188	4	879	3	309
bHd18369.1	3576	8	1941	7	1635	RVARI.g8792.t1	2184	5	1707	4	477
bHd05707.1	375	1	375	0	0	RVARI.g269.t1	408	1	408	0	0
bHd18772.1	1585	5	678	4	907	RVARI.g13021.t1	1099	6	669	5	430
bHd15103.1	10428	19	3918	18	6510	RVARI.g2184.t2	7279	18	4206	17	3073
bHd01649.1	2554	10	1212	9	1342	RVARI.g9088.t1	1935	10	1191	9	744
bHd19209.1	1703	3	921	2	782	RVARI.g9350.t1	1434	6	1026	5	408
bHd18613.1	17376	16	4152	15	13224	RVARI.g4827.t1	9923	15	3942	14	5981
bHd17402.1	1006	2	561	1	445	RVARI.g11433.t1	549	1	549	0	0
bHd01713.1	1226	5	456	4	770	RVARI.g1149.t1	826	5	453	4	373
bHd06450.1	8675	21	3441	20	5234	RVARI.g10950.t1	5882	24	3531	23	2351
bHd08699.1	6426	19	3186	18	3240	RVARI.g13904.t1	5493	16	3111	15	2382
bHd12513.1	8795	9	3141	8	5654	RVARI.g12644.t1	5312	10	2727	9	2585
bHd17694.1	3488	10	1344	9	2144	RVARI.g9180.t1	1953	9	1275	8	678
bHd00307.1	5988	9	1773	8	4215	RVARI.g6404.t2	4561	8	1809	7	2752
bHd01096.1	4774	13	2436	12	2338	RVARI.g11886.t1	5080	16	2727	15	2353
bHd01407.1	2486	5	1518	4	968	RVARI.g4688.t1	2275	3	1491	2	784
bHd14973.1	1278	5	663	4	615	RVARI.g7046.t1	954	5	642	4	312
bHd16039.1	9700	9	3489	8	6211	RVARI.g7106.t1	4841	7	2946	6	1895
bHd02414.1	3580	8	2247	7	1333	RVARI.g5213.t1	3457	8	2271	7	1186
bHd05784.1	1220	4	459	3	761	RVARI.g10138.t1	738	4	459	3	279
bHd03873.1	1140	7	402	6	738	RVARI.g2014.t1	976	6	441	5	535
bHd17106.1	1394	6	777	5	617	RVARI.g3460.t1	1473	7	792	6	681
bHd17406.1	3968	9	1851	8	2117	RVARI.g13863.t1	4519	14	3054	13	1465
bHd01162.1	900	2	627	1	273	RVARI.g11059.t1	800	2	522	1	278
bHd15419.1	2008	5	648	4	1360	RVARI.g6943.t1	918	4	591	3	327
bHd03853.1	1209	2	531	1	678	RVARI.g2011.t1	722	2	489	1	233
bHd16740.1	2772	2	1473	1	1299	RVARI.g10074.t1	2266	5	1692	4	574
bHd19880.1	1396	2	870	1	526	RVARI.g10912.t1	882	1	882	0	0
bHd06172.1	2893	6	1539	5	1354	RVARI.g605.t1	1761	5	1269	4	492
bHd01563.1	7365	10	4953	9	2412	RVARI.g1065.t1	6200	12	4833	11	1367
bHd19694.1	7486	15	1904	14	4590	RVARI.g3613.t1	6901	17	2169	16	4732
bHd18876.1	378	1	378	0	0	RVARI.g13066.t1	357	1	357	0	0
bHd00476.1	3135	5	1350	4	1785	RVARI.g12616.t1	1846	3	1476	2	370
bHd08448.1	2463	4	2205	3	258	RVARI.g9802.t1	2377	4	2082	3	295
bHd05566.1	6369	6	4383	5	1986	RVARI.g12670.t1	4406	5	3975	4	431
bHd09915.2	7439	13	3420	12	4019	RVARI.g8495.t1	4965	9	3201	8	1764
bHd00866.1	3048	7	1692	6	1356	RVARI.g4134.t1	2363	7	1737	6	626
bHd17910.1	8355	4	912	3	7443	RVARI.g2722.t1	4958	4	744	3	4214
bHd00587.1	1267	6	744	5	523	RVARI.g6012.t1	1219	6	765	5	454
bHd19112.1	6908	9	1707	8	5201	RVARI.g8375.t1	5228	6	1683	5	3545
bHd13646.1	7936	13	3591	12	4345	RVARI.g1577.t1	4311	9	2820	8	1491
bHd05919.1	2424	8	825	7	1599	RVARI.g9694.t1	1313	8	825	7	488
bHd15447.1	2286	8	1188	7	1098	RVARI.g13032.t1	1778	8	1083	7	695
bHd14971.1	9522	28	5418	27	4104	RVARI.g7044.t1	8224	29	5532	28	2692
bHd09087.1	3863	6	2088	5	1775	RVARI.g101.t1	2759	5	1806	4	953
bHd16827.1	8930	14	3756	13	5174	RVARI.g3323.t1	5635	14	3477	13	2158
bHd05271.2	3836	9	2043	8	1793	RVARI.g3553.t1	2732	9	1869	8	863
bHd06665.2	4526	6	2502	5	2024	RVARI.g11981.t1	3594	5	2484	4	1110
bHd07498.1	7612	30	3720	29	3892	RVARI.g13799.t1	8205	27	3951	26	4254
bHd10016.1	4821	7	2790	6	2031	RVARI.g5002.t1	4088	7	2904	6	1184
bHd18617.1	1119	2	834	1	285	RVARI.g4815.t1	672	1	672	0	0
bHd05644.1	1048	3	423	2	625	RVARI.g9566.t1	1460	2	396	1	1064
